,auction_existing_n,auction_existing_p,auction_existing_a,auction_new_n,auction_new_p,auction_new_a,auction_stock_n,auction_stock_p,auction_stock_a,agreement_existing_n,agreement_existing_p,agreement_existing_a,agreement_new_n,agreement_new_p,agreement_new_a,agreement_stock_n,agreement_stock_p,agreement_stock_a,transfer_existing_n,transfer_existing_p,transfer_existing_a,transfer_new_n,transfer_new_p,transfer_new_a,transfer_stock_n,transfer_stock_p,transfer_stock_a,other_existing_n,other_existing_p,other_existing_a,other_new_n,other_new_p,other_new_a,other_stock_n,other_stock_p,other_stock_a,lease_existing_n,lease_existing_p,lease_existing_a,lease_new_n,lease_new_p,lease_new_a,lease_stock_n,lease_stock_p,lease_stock_a
130107,11.0,244525.0,70.0815,2.0,0.0,18.73,0.0,0.0,0.0,4.0,2408.2842,7.8189,1.0,706.494,0.9334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130108,16.0,8438.75,46.5271,15.0,13481.89,172.80630000000002,3.0,3450.0,5.7555,9.0,1945.9508,5.2964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,54.6209,1.0,0.0,5.9148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130109,3.0,208350.0,28.590600000000002,7.0,45000.0,32.6702,0.0,0.0,0.0,3.0,7272.2299,5.214799999999999,1.0,9136.1878,33.6978,2.0,2147.2015,3.1849,9.0,0.0,13.4937,8.0,3591.8786,24.011200000000002,13.0,0.0,190.1709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130110,5.0,35030.2,5.6852,16.0,328504.0,149.4364,20.0,572800.0,154.22390000000001,26.0,32614.177999999993,27.806640000000005,0.0,0.0,0.0,1.0,519.82,2.6671,22.0,0.0,31.1582,3.0,0.0,6.925699999999999,15.0,1744.2965,53.7335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130111,7.0,28557.73,12.5163,24.0,276430.0,140.048236,22.0,537435.0304,139.6925,27.0,25982.428900000003,18.718899999999994,1.0,5421.58,5.4,0.0,0.0,0.0,19.0,0.0,17.5891,13.0,14760.6143,34.5774,7.0,10134.3112,29.6677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130112,4.0,32380.0,25.931849,28.0,216777.0,159.02299499999998,27.0,740570.0,233.870038,42.0,63097.2218,42.571178,3.0,4300.0,12.99676,3.0,13522.18,25.946543000000002,17.0,0.0,24.768539999999998,48.0,22188.8419,169.8562,1.0,119.5824,1.3991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130113,3.0,1822.0,2.9967260000000002,28.0,773215.0,264.23050300000006,41.0,1222040.0,252.182498,25.0,30340.8857,18.009942000000002,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,22.710023,28.0,20378.7118,112.36980000000001,1.0,1908.819,5.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130114,3.0,1770.0,3.7686710000000003,47.0,383157.2545,148.033769,26.0,752430.0,106.720615,8.0,17026.22,15.013794,2.0,4340.0,5.21566,0.0,0.0,0.0,23.0,0.0,31.094162999999998,87.0,21633.742499999997,152.676117,3.0,41.608,4.068443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130115,15.0,47056.963599999995,27.140799,147.0,785987.3231,406.537043,35.0,1236115.5921,197.89869099999996,9.0,2611.3145999999997,1.799823,3.0,4242.0,7.815899999999999,0.0,0.0,0.0,30.0,0.0,42.415107000000006,53.0,44908.4188,184.50447400000002,7.0,1344.3216,23.516401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130116,9.0,28316.727800000004,17.163915000000003,84.0,1313164.1085,439.48537500000003,31.0,997343.0,169.19368099999997,10.0,20023.989999999998,9.569383,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16612.9051,43.987202999999994,74.0,51767.672699999996,219.338456,12.0,3914.2882,250.91910800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
