listID,gender_fem,provID,year,cityID,termID,cityps,officerID,name,growth,growth_prov,growth_percentile,gdp,pop,fisincome,fisexpenditure,fai,fdi,lnGDP,lnPopualtion,lnFisExp,lnFisRev,termendyear,beginlnPopulation,beginlnGDP,beginlnFisRev,promotion,promotion1,promotion2,promotionstep,careerend,censored,ability,age,native,college,graduate,doctor,birth_yr,home_city,edu_first,college_major,college_code,connection_home,connection_college,connection_work,term_length,term_year,rank_current,rank_prior,rank_next,job_prior,job_next,location_prior,location_next
1301001,0.0,130000.0,2000,石家庄市,10002,书记,4641.0,陈来立,110.5,1.1909103,0.77272725,1003.11,889.8,37.7137,50.2528,23036.44922,145.8399963,6.9108605,6.7909966,3.9170663,3.6300235,1,6.7653503,6.740354,3.48247,0.0,0.0,0.0,0.0,1.0,0.0,3.0735095,57.0,0,1.0,0.0,0.0,1943.0,保定市,college,,中国科学技术大学,0,0,0,,,,,,,,,
1301011,0.0,130000.0,2001,石家庄市,10005,书记,1862.0,吴振华,109.1,-0.1818161,0.45454547,1085.4299,898.0,44.3554,59.7249,25817.24023,167.0099945,6.9897313,6.80017,4.089749,3.7922344,0,6.80017,6.9897313,3.7922344,0.0,0.0,0.0,0.0,0.0,0.0,0.29490092,55.0,0,1.0,0.0,0.0,1946.0,唐山市,college,Engineering,哈尔滨工程大学,0,0,0,,,,,,,,,
1301021,0.0,130000.0,2002,石家庄市,10005,书记,1862.0,吴振华,109.9,-0.48181915,0.18181819,1186.81,908.7195,44.4947,68.8713,41226.85938,179.9,7.0790243,6.8120365,4.2322397,3.79537,0,6.80017,6.9897313,3.7922344,0.0,0.0,0.0,0.0,0.0,0.0,0.29490092,56.0,0,1.0,0.0,0.0,1946.0,唐山市,college,Engineering,哈尔滨工程大学,0,0,0,,,,,,,,,
1301031,0.0,130000.0,2003,石家庄市,10005,书记,1862.0,吴振华,112.5,0.25454712,0.8181818,1377.9401,918.10986,49.34290039,80.22740234,53498.0,254.1399994,7.228345,6.822317,4.3848653,3.898794,0,6.80017,6.9897313,3.7922344,0.0,0.0,0.0,0.0,0.0,0.0,0.29490092,57.0,0,1.0,0.0,0.0,1946.0,唐山市,college,Engineering,哈尔滨工程大学,0,0,0,,,,,,,,,
1301041,0.0,130000.0,2004,石家庄市,10005,书记,1862.0,吴振华,114.1,-0.030914307,0.45454547,1633.46,927.50024,56.16439941,92.96830078,71673.35938,351.9899902,7.3984556,6.832493,4.5322585,4.028283,0,6.80017,6.9897313,3.7922344,0.0,0.0,0.0,0.0,0.0,0.0,0.29490092,58.0,0,1.0,0.0,0.0,1946.0,唐山市,college,Engineering,哈尔滨工程大学,0,0,0,,,,,,,,,
1301051,0.0,130000.0,2005,石家庄市,10005,书记,1862.0,吴振华,113.7,-0.61818695,0.54545456,1670.8,936.8907,65.8796,108.1627,92902.89063,439.31,7.4210577,6.8425665,4.6836367,4.187829,0,6.80017,6.9897313,3.7922344,0.0,0.0,0.0,0.0,0.0,0.0,0.29490092,59.0,0,1.0,0.0,0.0,1946.0,唐山市,college,Engineering,哈尔滨工程大学,0,0,0,,,,,,,,,
1301061,0.0,130000.0,2006,石家庄市,10005,书记,1862.0,吴振华,113.4,-0.10908508,0.45454547,1902.52,946.28107,77.37359863,128.2462012,109944.6328,493.7900085,7.550935,6.8525395,4.853952,4.3486457,1,6.80017,6.9897313,3.7922344,0.0,0.0,0.0,0.0,1.0,0.0,0.29490092,60.0,0,1.0,0.0,0.0,1946.0,唐山市,college,Engineering,哈尔滨工程大学,0,0,0,,,,,,,,,
1301071,0.0,130000.0,2007,石家庄市,10004,书记,1647.0,吴显国,113.2,0.29999542,0.45454547,2268.84,955.67145,95.87200195,163.1691992,139012.3438,327.1600037,7.727024,6.8624144,5.0947876,4.563014,0,6.8624144,7.727024,4.563014,0.0,0.0,0.0,0.0,0.0,0.0,-1.3775479,51.0,0,0.0,0.0,0.0,1956.0,沧州市,-high school,,,0,1,0,2.0,1.0,副部,副部,副部,市委书记,省常委（其他）,石家庄市,
1301081,0.0,130000.0,2008,石家庄市,10004,书记,1647.0,吴显国,110.1,-1.4636383,0.22727273,2723.55,965.0618,110.0366016,193.7868945,173103.3906,440.2799988,7.9096913,6.8721924,5.266759,4.700813,1,6.8624144,7.727024,4.563014,0.0,0.0,0.0,0.0,1.0,0.0,-1.3775479,52.0,0,0.0,0.0,0.0,1956.0,沧州市,-high school,,,0,0,0,2.0,2.0,,,,,,,
1301091,0.0,130000.0,2009,石家庄市,10001,书记,4792.0,车俊,111.1,0.4727249,0.72727275,3001.2798,974.4522,125.9613965,240.9171094,243636.0156,543.5,8.006794,6.8818755,5.4844527,4.8359756,1,6.8818755,8.006794,4.8359756,1.0,1.0,1.0,2.0,0.0,0.0,0.27904,54.0,0,0.0,0.0,0.0,1955.0,合肥市,-high school,,,0,0,0,,,,,,,,,
