,realestate_auction_n,realestate_auction_p,realestate_auction_a,realestate_agreement_n,realestate_agreement_p,realestate_agreement_a,realestate_transfer_n,realestate_transfer_p,realestate_transfer_a,realestate_other_n,realestate_other_p,realestate_other_a,realestate_lease_n,realestate_lease_p,realestate_lease_a,secondary_auction_n,secondary_auction_p,secondary_auction_a,secondary_agreement_n,secondary_agreement_p,secondary_agreement_a,secondary_transfer_n,secondary_transfer_p,secondary_transfer_a,secondary_other_n,secondary_other_p,secondary_other_a,secondary_lease_n,secondary_lease_p,secondary_lease_a,other_auction_n,other_auction_p,other_auction_a,other_agreement_n,other_agreement_p,other_agreement_a,other_transfer_n,other_transfer_p,other_transfer_a,other_other_n,other_other_p,other_other_a,other_lease_n,other_lease_p,other_lease_a,tertiary_auction_n,tertiary_auction_p,tertiary_auction_a,tertiary_agreement_n,tertiary_agreement_p,tertiary_agreement_a,tertiary_transfer_n,tertiary_transfer_p,tertiary_transfer_a,tertiary_other_n,tertiary_other_p,tertiary_other_a,tertiary_lease_n,tertiary_lease_p,tertiary_lease_a,government_auction_n,government_auction_p,government_auction_a,government_agreement_n,government_agreement_p,government_agreement_a,government_transfer_n,government_transfer_p,government_transfer_a,government_other_n,government_other_p,government_other_a,government_lease_n,government_lease_p,government_lease_a,primary_auction_n,primary_auction_p,primary_auction_a,primary_agreement_n,primary_agreement_p,primary_agreement_a,primary_transfer_n,primary_transfer_p,primary_transfer_a,primary_other_n,primary_other_p,primary_other_a,primary_lease_n,primary_lease_p,primary_lease_a
130107,9.0,242820.0,69.2003,3.0,2158.9242,7.5326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,345.0,0.4266,1.0,706.494,0.9334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1360.0,0.4546,1.0,249.36,0.2863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130108,6.0,8438.75,2.427,2.0,903.7,1.9676,4.0,0.0,40.821799999999996,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10381.89,19.504599999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6550.0,203.1573,1.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1004.7207999999999,1.1120999999999999,2.0,0.0,12.668299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.53,0.0567,3.0,0.0,7.0456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130109,6.0,245400.0,45.8404,2.0,10907.0178,35.2445,7.0,0.0,48.3354,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2950.0,5.5905000000000005,2.0,6317.1,4.848999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5000.0,9.8299,2.0,1331.5014,2.004,15.0,3591.8786,160.4499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,18.890500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130110,32.0,915428.2,274.0243,4.0,4351.7082,4.5632,5.0,0.0,19.5661,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18220.0,34.608000000000004,9.0,10988.0836,12.996899999999998,1.0,0.0,0.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2719.49,0.8804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2686.0,0.7132,13.0,15074.716199999999,12.03324,25.0,1744.2965,51.7515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,19.9478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130111,35.0,733630.0,198.61320199999997,1.0,133.3189,0.1476,6.0,17531.9917,39.4117,0.0,0.0,0.0,0.0,0.0,0.0,6.0,23635.0,40.5666,4.0,2231.98,2.8707000000000003,2.0,0.0,3.3564,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3672.7299999999996,15.994959000000001,1.0,5421.58,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,75525.0304,32.931974,21.0,22881.76,15.091799999999997,21.0,7362.933800000001,29.8211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5960.0,4.150301,1.0,735.37,0.6088,10.0,0.0,9.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130112,36.0,884370.0,222.82293100000004,5.0,3623.9100000000003,0.8623799999999999,10.0,16724.348700000002,64.2494,0.0,0.0,0.0,0.0,0.0,0.0,15.0,29852.0,60.202332000000006,13.0,37645.530000000006,50.87538500000001,4.0,0.0,5.54934,0.0,0.0,0.0,0.0,0.0,0.0,4.0,59940.0,123.59006199999999,1.0,2340.0,7.9989,4.0,1183.5927,6.1029,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5085.0,8.341876000000001,26.0,35156.991799999996,21.395185999999995,41.0,2825.0989,103.68684999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10480.0,3.867681,3.0,2152.97,0.38263,7.0,1575.384,16.43535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130113,58.0,1874212.0,430.31554100000005,2.0,192.58999999999997,0.028746,11.0,17443.0573,81.30814999999998,0.0,0.0,0.0,0.0,0.0,0.0,9.0,63625.0,72.813556,10.0,2810.36,1.907418,1.0,1225.2421,3.6619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2496.74,0.4116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25440.0,6.769599,10.0,20132.3857,15.00351,18.0,3277.0824000000002,39.283373,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33800.0,9.511031,2.0,4708.81,0.658668,11.0,342.149,15.835300000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130114,48.0,1087750.0,193.317657,2.0,273.02,0.037572,4.0,3003.9835999999996,11.279599999999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21741.0,45.010031000000005,2.0,11322.470000000001,11.690126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,27866.2545,20.195366999999997,5.0,9170.51,8.353956,11.0,10253.5749,66.583141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,600.22,0.1478,98.0,8417.792,109.975982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130115,106.0,1957226.684,411.623383,5.0,98.5746,0.0954,21.0,36471.7158,111.902029,0.0,0.0,0.0,0.0,0.0,0.0,47.0,54610.26,116.265617,4.0,3087.66,4.030623,2.0,1102.568,12.757191,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9490.0,16.576765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,46080.4958,82.83945500000002,3.0,3667.08,5.4897,22.0,4926.2101999999995,53.285979000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,0.271313,0.0,0.0,0.0,45.0,3752.2464,72.49078299999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1677.439,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130116,88.0,2272804.7885,477.16203099999996,4.0,42.48,0.082,12.0,26328.1935,64.793936,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27815.275999999998,89.63735199999999,0.0,0.0,0.0,2.0,14595.2097,25.265500000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1105.0,3.3334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,36308.9518,53.661429999999996,6.0,19981.510000000002,9.487383,86.0,10498.659300000001,328.211927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7842.2376,65.965881,0.0,0.0,0.0,0.0,0.0,0.0,1.0,789.82,2.048758,0.0,0.0,0.0,3.0,13030.565899999998,30.007523,0.0,0.0,0.0,0.0,0.0,0.0
