,realestate_existing_n,realestate_existing_p,realestate_existing_a,realestate_new_n,realestate_new_p,realestate_new_a,realestate_stock_n,realestate_stock_p,realestate_stock_a,secondary_existing_n,secondary_existing_p,secondary_existing_a,secondary_new_n,secondary_new_p,secondary_new_a,secondary_stock_n,secondary_stock_p,secondary_stock_a,other_sector_existing_n,other_sector_existing_p,other_sector_existing_a,other_sector_new_n,other_sector_new_p,other_sector_new_a,other_sector_stock_n,other_sector_stock_p,other_sector_stock_a,tertiary_existing_n,tertiary_existing_p,tertiary_existing_a,tertiary_new_n,tertiary_new_p,tertiary_new_a,tertiary_stock_n,tertiary_stock_p,tertiary_stock_a,government_existing_n,government_existing_p,government_existing_a,government_new_n,government_new_p,government_new_a,government_stock_n,government_stock_p,government_stock_a,primary_existing_n,primary_existing_p,primary_existing_a,primary_new_n,primary_new_p,primary_new_a,primary_stock_n,primary_stock_p,primary_stock_a
130107,12.0,244978.9242,76.7329,0.0,0.0,0.0,0.0,0.0,0.0,1.0,345.0,0.4266,1.0,706.494,0.9334,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.73,0.0,0.0,0.0,2.0,1609.3600000000001,0.7409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130108,8.0,9342.45,4.3946,4.0,0.0,40.821799999999996,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7981.889999999999,15.5071,2.0,2400.0,3.9974999999999996,11.0,0.0,46.26010000000001,10.0,5500.0,157.29919999999998,1.0,1050.0,1.758,5.0,1004.7207999999999,1.1120999999999999,2.0,0.0,12.668299999999999,0.0,0.0,0.0,1.0,37.53,0.0567,2.0,0.0,1.1308,1.0,0.0,5.9148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130109,2.0,207750.0,27.5409,7.0,46786.1878,64.0963,6.0,1770.83,37.783100000000005,3.0,6917.1,5.898699999999999,2.0,2350.0,4.5408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,955.1299,5.3035,3.0,8591.8786,14.516900000000001,8.0,376.3715,152.4634,3.0,0.0,8.556000000000001,4.0,0.0,7.2252,1.0,0.0,3.1093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130110,11.0,39381.908200000005,10.7164,9.0,311388.0,116.8126,21.0,569010.0,170.62460000000002,9.0,10468.2636,10.8818,5.0,16970.0,32.3876,2.0,1769.8200000000002,4.8875,1.0,2719.49,0.8804,0.0,0.0,0.0,0.0,0.0,0.0,27.0,15074.716199999999,36.29813999999999,2.0,146.0,0.2362,12.0,4284.2965,27.9636,5.0,0.0,5.8732999999999995,3.0,0.0,6.925699999999999,1.0,0.0,7.1488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130111,5.0,27533.3189,4.842,12.0,199699.65649999998,72.252802,25.0,524062.33520000003,161.0777,6.0,2231.98,6.2271,6.0,23635.0,40.5666,0.0,0.0,0.0,2.0,917.73,7.5493,3.0,8176.58,13.845659000000001,0.0,0.0,0.0,33.0,23121.76,22.1485,12.0,59140.957800000004,47.413874,4.0,23507.0064,8.282499999999999,7.0,735.37,8.057400000000001,5.0,5960.0,5.946700999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130112,8.0,30353.91,19.31738,16.0,179714.76630000002,123.62237900000001,27.0,694649.5824,144.994952,14.0,28463.35,34.05394100000001,16.0,26162.0,57.72334300000001,2.0,12872.18,24.849773000000003,1.0,0.0,0.2077,7.0,17423.5927,47.209976,1.0,46040.0,90.274186,33.0,34506.991799999996,30.644666,36.0,7910.098900000001,101.68247600000001,1.0,650.0,1.09677,7.0,2152.97,9.047880000000001,4.0,12055.384,11.637781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130113,4.0,244.58999999999997,2.626302,29.0,758764.2383,272.31034200000005,38.0,1132838.8190000001,236.715793,11.0,4450.36,4.640758,8.0,28610.2421,65.799394,1.0,34600.0,7.942722,1.0,2496.74,0.4116,0.0,0.0,0.0,0.0,0.0,0.0,22.0,20262.385700000003,35.379363,8.0,5877.082400000001,22.655267000000002,2.0,22710.0,3.021852,2.0,4708.81,0.658668,11.0,342.149,15.835300000000002,1.0,33800.0,9.511031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130114,3.0,1448.02,1.671143,27.0,353907.3756,104.917158,24.0,735671.608,98.046528,3.0,11817.470000000001,13.718426,12.0,19346.0,38.45345900000001,2.0,1900.0,4.528272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4930.51,17.135737,20.0,27459.8294,73.64241200000001,1.0,14900.0,4.354315,20.0,600.22,17.351322,77.0,8417.792000000001,88.912517,2.0,0.0,3.8599430000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130115,17.0,44287.4485,23.899375999999997,81.0,720351.2657999999,315.45378600000004,34.0,1229158.2601,184.26764999999997,5.0,2398.66,11.120714,45.0,49186.91590000001,101.69647100000002,3.0,7214.9121000000005,20.236245999999998,0.0,0.0,0.0,6.0,9490.0,16.576765,0.0,0.0,0.0,5.0,2982.1696999999995,9.77868,54.0,51474.616299999994,120.43833000000001,2.0,217.0,11.398124000000001,27.0,0.0,26.556958999999996,16.0,2957.5049,40.692065,3.0,869.7415,5.513071999999999,0.0,0.0,0.0,1.0,1677.439,4.0,0.0,0.0,0.0
130116,12.0,26866.2078,15.295448,65.0,1285374.2541999999,384.294452,27.0,986935.0,142.44806699999998,0.0,0.0,0.0,17.0,35492.4857,86.992554,3.0,6918.0,27.910297999999997,0.0,0.0,0.0,1.0,1105.0,3.3334,0.0,0.0,0.0,30.0,28971.1374,44.525884,68.0,34327.9837,126.42736700000002,10.0,3490.0,220.407489,0.0,0.0,0.0,6.0,7842.2376,55.7273,2.0,0.0,10.238581,2.0,9116.277699999999,10.899168999999999,1.0,789.82,2.048758,1.0,3914.2882,19.108354
130202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,35662.633799999996,117.19800000000001,28.0,40727.722100000006,440.38059999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,108424.4258,806.8427000000001,17.0,2508.2129,17.967700000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,34759.415,107.5978,24.0,33757.7856,354.58979999999997,1.0,1951.3,20.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,397375.5816,31.284399999999998,9.0,4012.5231000000003,22.5932,0.0,0.0,0.0,1.0,730.9107,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,36842.44270000001,440.20210000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130207,41.0,212208.8063,118.1344,6.0,9154.394199999999,34.6227,2.0,8809.5211,11.2586,11.0,2291.4689,10.766899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,514.7188,52.7602,0.0,0.0,0.0,39.0,14265.224000000004,10.690399999999999,0.0,0.0,0.0,3.0,65.3237,1.3114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.315,0.15,0.0,0.0,0.0,0.0,0.0,0.0
130208,38.0,41477.5841,69.78609999999998,5.0,9897.389,53.6707,2.0,3741.7055,12.4444,29.0,26298.792699999998,117.29520000000001,2.0,5549.597,24.8856,1.0,629.0,3.0373,5.0,2916.1766,13.5377,0.0,0.0,0.0,0.0,0.0,0.0,34.0,30925.7877,167.13150000000002,6.0,1207.0023,17.562,6.0,198.1035,11.034699999999999,1.0,4.134,0.0459,2.0,0.0,9.4448,4.0,0.0,2.521,2.0,8.5698,0.0414,0.0,0.0,0.0,0.0,0.0,0.0
130209,61.0,174925.5348,117.33184000000001,11.0,7889.0383999999995,34.590159,5.0,3510.5472,20.1567,12.0,3486.2338,19.240400000000005,31.0,39883.0482,171.862899,7.0,2380.4,11.490499999999997,6.0,9021.5533,37.5572,4.0,1510.9646,6.113143000000001,0.0,0.0,0.0,25.0,40674.6286,51.6541,9.0,1774.6053,9.3429,12.0,197.6,96.75899999999999,0.0,0.0,0.0,2.0,0.0,5.269299999999999,1.0,0.0,1.0367,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1015.0,3.7801
130210,120.0,774170.5555,336.113986,39.0,398435.2482999999,213.26125400000004,6.0,152221.06,55.297547,30.0,40115.0426,226.09895400000002,45.0,59160.28860000001,241.662903,6.0,3700.1428,16.602400000000003,4.0,2618.4124,12.339,16.0,16508.7707,57.669411,2.0,0.0,4.8035,49.0,150679.73080000002,199.064754,23.0,75419.35059999999,166.207371,7.0,9970.6577,60.1268,14.0,1985.1089,22.418699999999998,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3092.6955,35.6747,1.0,148.5005,1.0,0.0,0.0,0.0
130211,127.0,694864.7115000001,354.851401,20.0,167520.5216,65.964003,5.0,59602.2665,17.137700000000002,33.0,83674.17849999998,477.874428,59.0,60732.8521,296.14158999999995,1.0,406.647,4.5186,0.0,0.0,0.0,9.0,5965.5497,22.724089,0.0,0.0,0.0,90.0,261563.1138,628.113895,34.0,64122.344099999995,103.622214,16.0,605.186,115.8041,7.0,42.154300000000006,3.3794,1.0,136.1633,1.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130212,130.0,188773.86190000002,139.66724,15.0,125859.49479999999,63.940549,9.0,84297.5311,48.973363,35.0,420053.85270000005,2156.718287,51.0,30273.734300000004,126.73755100000001,1.0,857.3013,2.857671,6.0,890.4350000000001,32.871849000000005,19.0,15497.0738,66.479467,0.0,0.0,0.0,92.0,180424.63680000004,401.838996,34.0,109007.3173,126.98787999999999,7.0,8182.3261999999995,83.33211899999999,6.0,1245.6272999999999,5.767281999999999,2.0,0.0,4.861261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130213,281.0,535491.1072000001,243.44714,45.0,199758.24349999998,171.666685,20.0,166124.5773,122.814361,39.0,81566.3529,435.066774,104.0,60548.6918,241.39653099999998,1.0,293.2861,1.7002,2.0,404.5788,2.0255739999999998,17.0,12634.9414,62.808493,1.0,690.0,3.3333,125.0,194668.28980000003,586.1780889999999,113.0,244180.4618,809.5319900000001,10.0,50334.670399999995,21.645239,1.0,0.0,0.23795,2.0,103.752,3.1528,0.0,0.0,0.0,2.0,700.1,4.6667000000000005,0.0,0.0,0.0,0.0,0.0,0.0
